角色昵称,服务器名,违规次数
最***芳,山丘之王,首次违规
最***发,伊森利恩,多次违规
最***地,血色十字军,多次违规
最***袋,海克泰尔,首次违规
最***待,红云台地,多次违规
最***堡,布兰卡德,多次违规
最****者,死亡之翼,首次违规
最****事,凤凰之神,首次违规
最****士,凤凰之神,首次违规
最****人,白银之手,首次违规
最****青,死亡之翼,首次违规
最****咕,末日行者,首次违规
最****狗,燃烧之刃,首次违规
最****丶,冰风岗,首次违规
最****丶,凤凰之神,多次违规
嘴**土,霜之哀伤,首次违规
嘴**孩,安苏,首次违规
嘴***助,影之哀伤,首次违规
嘴***要,狂热之刃,多次违规
嘴***绕,国王之谷,首次违规
嘴***咪,国王之谷,首次违规
钻*糖,罗宁,多次违规
钻***拳,无尽之海,多次违规
钻***亮,布兰卡德,首次违规
祖*特,深渊之巢,首次违规
祖*瑪,贫瘠之地,多次违规
祖**荣,白银之手,首次违规
祖***丶,凤凰之神,首次违规
祖****夜,凤凰之神,多次违规
祖****朵,影之哀伤,多次违规
组**士,白银之手,多次违规
组**士,白银之手,多次违规
组****断,燃烧之刃,首次违规
组****丶,伊森利恩,首次违规
足***师,白银之手,首次违规
足****丨,白银之手,首次违规
足****啊,格瑞姆巴托,首次违规
租*购,白银之手,首次违规
揍**丶,燃烧之刃,首次违规
揍****索,主宰之剑,首次违规
奏*厄,伊森利恩,多次违规
奏***光,白骨荒野,多次违规
走*吉,凤凰之神,首次违规
走*鸽,血色十字军,首次违规
走*动,壁炉谷,首次违规
走**龙,死亡之翼,首次违规
走**丶,影之哀伤,首次违规
走**北,无尽之海,多次违规
走***停,白银之手,首次违规
走***手,克尔苏加德,多次违规
走****了,无尽之海,多次违规
走****丶,熊猫酒仙,首次违规
邹**毒,布兰卡德,首次违规
粽**水,雷霆之王,首次违规
粽**丶,凤凰之神,首次违规
纵**戮,白银之手,首次违规
纵**戮,埃德萨拉,多次违规
纵****星,罗宁,首次违规
总***夜,燃烧之刃,首次违规
总***厅,凤凰之神,首次违规
总***手,罗宁,首次违规
总****朕,阿克蒙德,首次违规
总****的,死亡之翼,首次违规
总****的,死亡之翼,首次违规
字*色,罗宁,首次违规
自*摸,万色星辰,多次违规
自*动,哈卡,多次违规
自*閉,凤凰之神,首次违规
自*悲,凤凰之神,多次违规
自*啊,格瑞姆巴托,多次违规
自**已,死亡之翼,首次违规
自**士,冰风岗,首次违规
自**色,奥蕾莉亚,首次违规
自**人,白银之手,首次违规
自**派,伊森利恩,首次违规
自**满,血色十字军,多次违规
自**立,回音山,多次违规
自**乐,奎尔丹纳斯,首次违规
自**海,熊猫酒仙,首次违规
自***知,古加尔,首次违规
自***用,格瑞姆巴托,首次违规
自***色,克尔苏加德,多次违规
自***骑,伊森利恩,首次违规
自***鸟,雷斧堡垒,首次违规
自***家,主宰之剑,首次违规
自***功,凤凰之神,首次违规
自***哥,安苏,多次违规
自***带,白银之手,多次违规
自***吧,死亡之翼,首次违规
自****由,白银之手,首次违规
自****役,凤凰之神,多次违规
自****壹,伊森利恩,多次违规
自****灵,麦姆,多次违规
橴****味,燃烧之刃,多次违规
紫*云,泰兰德,首次违规
紫*郁,风暴之怒,多次违规
紫*殇,阿格拉玛,首次违规
紫*筛,罗宁,首次违规
紫*彡,格瑞姆巴托,多次违规
紫*哦,罗宁,首次违规
紫*魔,诺森德,首次违规
紫*猫,白银之手,首次违规
紫*龍,戈古纳斯,多次违规
紫*陵,主宰之剑,首次违规
紫*林,燃烧之刃,首次违规
紫*鹄,燃烧之刃,首次违规
紫*菲,布兰卡德,多次违规
紫*兒,燃烧之刃,多次违规
紫*儿,伊森利恩,多次违规
紫*丶,耐奥祖,首次违规
紫*丶,燃烧之刃,多次违规
紫*丷,白银之手,首次违规
紫**子,蜘蛛王国,多次违规
紫**月,麦迪文,首次违规
紫**宇,克尔苏加德,多次违规
紫**友,金色平原,多次违规
紫**蝇,阿古斯,首次违规
紫**仙,凤凰之神,首次违规
紫**王,燃烧之刃,首次违规
紫**吞,凤凰之神,多次违规
紫**萄,白银之手,首次违规
紫**术,白银之手,首次违规
紫**師,格瑞姆巴托,首次违规
紫**殇,燃烧之刃,首次违规
紫**然,主宰之剑,多次违规
紫**情,冰风岗,首次违规
紫**情,无尽之海,多次违规
紫**龙,白银之手,多次违规
紫**灵,死亡之翼,首次违规
紫**理,伊森利恩,多次违规
紫**酒,伊森利恩,多次违规
紫**记,白银之手,首次违规
紫**狐,末日行者,首次违规
紫**骺,贫瘠之地,首次违规
紫**瓜,格瑞姆巴托,多次违规
紫**风,影之哀伤,首次违规
紫**地,燃烧之刃,多次违规
紫**奔,凤凰之神,多次违规
紫**粑,罗宁,首次违规
紫***玥,影之哀伤,首次违规
紫***蝇,罗宁,首次违规
紫***依,罗宁,首次违规
紫***星,凤凰之神,首次违规
紫***侠,死亡之翼,首次违规
紫***味,白银之手,多次违规
紫***手,罗宁,首次违规
紫***码,伊森利恩,多次违规
紫***鸡,凤凰之神,多次违规
紫***瓜,凤凰之神,首次违规
紫***丶,无尽之海,首次违规
紫***丶,阿古斯,首次违规
紫***茶,冰风岗,多次违规
紫***冰,主宰之剑,首次违规
紫****子,凤凰之神,多次违规
紫****味,凤凰之神,首次违规
紫****帅,塞泰克,首次违规
紫****女,凤凰之神,首次违规
紫****你,凤凰之神,首次违规
梓**油,雷斧堡垒,首次违规
梓***想,末日行者,首次违规
耔**泡,克尔苏加德,多次违规
耔***丶,罗宁,首次违规
姊***结,暗影之月,多次违规
子*丨,试炼之环,首次违规
子*龙,艾露恩,多次违规
子*龙,龙骨平原,多次违规
子*妗,熵魔,首次违规
子*丶,布兰卡德,首次违规
子*岛,塞拉摩,首次违规
子**鱼,黑龙军团,首次违规
子**封,试炼之环,首次违规
子**丶,罗宁,首次违规
子**丶,格瑞姆巴托,多次违规
子****面,燃烧之刃,首次违规
資**白,白银之手,首次违规
滋**口,白银之手,首次违规
滋***叫,凤凰之神,首次违规
资**资,丽丽（四川）,首次违规
资**玩,凤凰之神,多次违规
资****员,埃德萨拉,首次违规
濁*丶,熊猫酒仙,多次违规
卓*君,凤凰之神,首次违规
卓*哽,白银之手,多次违规
灼*後,伊森利恩,首次违规
灼**娜,芬里斯,首次违规
灼**桦,血色十字军,首次违规
灼****惇,埃克索图斯,多次违规
桌*乱,凤凰之神,多次违规
桌****槌,冰风岗,多次违规
准*帝,丽丽（四川）,首次违规
准**眠,血色十字军,多次违规
坠**狱,埃德萨拉,首次违规
椎**希,迅捷微风,首次违规
椎**橘,燃烧之刃,首次违规
追*铁,伊森利恩,首次违规
追*丶,龙骨平原,首次违规
追**月,奎尔丹纳斯,首次违规
追**月,伊森利恩,首次违规
追**星,国王之谷,首次违规
追**香,燃烧之刃,多次违规
追**天,凤凰之神,首次违规
追**瞬,血色十字军,首次违规
追***游,死亡之翼,多次违规
追***狗,伊森利恩,首次违规
追****天,奥尔加隆,首次违规
追****她,死亡之翼,首次违规
追****璃,冰风岗,首次违规
追****華,白银之手,首次违规
撞*猫,燃烧之刃,多次违规
撞***弦,格瑞姆巴托,多次违规
状*签,克尔苏加德,首次违规
壮*陶,燃烧之刃,首次违规
壮*壶,死亡之翼,多次违规
壮**仁,试炼之环,多次违规
壮****丶,罗宁,首次违规
装**哑,罗宁,首次违规
装**呗,凤凰之神,首次违规
装***子,克尔苏加德,多次违规
装***姬,罗宁,首次违规
装****删,霜狼,首次违规
装****出,格瑞姆巴托,首次违规
妝*疯,冰霜之刃,首次违规
庄****气,凤凰之神,多次违规
妆**鸭,罗宁,多次违规
轉*丶,死亡之翼,首次违规
转*腿,血色十字军,首次违规
转*生,丽丽（四川）,首次违规
转*欧,血色十字军,多次违规
转**猎,白银之手,首次违规
转***五,凤凰之神,多次违规
转***丨,燃烧之刃,首次违规
转***瓶,白银之手,多次违规
转***丶,加基森,首次违规
转****念,白银之手,多次违规
砖***事,白银之手,首次违规
専****服,凤凰之神,多次违规
专**子,罗宁,首次违规
专**诊,血色十字军,首次违规
专**者,霜之哀伤,首次违规
专**腾,深渊之巢,多次违规
专**手,燃烧之刃,首次违规
专**冷,影之哀伤,首次违规
专**德,影之哀伤,多次违规
专**蛋,燃烧之刃,首次违规
专**蛋,恐怖图腾,首次违规
专***术,影之哀伤,多次违规
专***片,燃烧平原,首次违规
专***丶,燃烧之刃,首次违规
专***登,血色十字军,首次违规
专***厨,伊利丹,首次违规
专****腿,玛瑟里顿,首次违规
专****鲨,冰风岗,首次违规
专****丶,影之哀伤,多次违规
拽**吗,龙骨平原,首次违规
拽**喽,燃烧之刃,多次违规
抓*侠,白银之手,首次违规
抓**兔,凤凰之神,首次违规
抓**宝,贫瘠之地,多次违规
抓***世,凤凰之神,多次违规
抓***風,影之哀伤,首次违规
抓***德,凤凰之神,多次违规
抓****心,凤凰之神,首次违规
抓****华,布兰卡德,首次违规
抓****尔,国王之谷,首次违规
铸**魂,白银之手,首次违规
铸****撒,主宰之剑,多次违规
铸****管,艾露恩,首次违规
蛀****法,海加尔,首次违规
祝*岚,凤凰之神,首次违规
祝*酒,凤凰之神,首次违规
祝*哒,回音山,多次违规
祝*尘,罗宁,首次违规
祝****奶,加尔,首次违规
注**火,熊猫酒仙,首次违规
注****石,罗宁,首次违规
助**孕,罗宁,首次违规
助**生,死亡之翼,多次违规
煮***菜,回音山,首次违规
主*人,主宰之剑,首次违规
主*练,罗宁,首次违规
主***点,白银之手,首次违规
主***昌,燃烧之刃,首次违规
主****长,血色十字军,多次违规
主****流,冰风岗,首次违规
主****理,血色十字军,首次违规
烛**阴,暗影之月,首次违规
烛***丶,格瑞姆巴托,首次违规
逐*者,克尔苏加德,首次违规
逐*月,诺兹多姆,多次违规
逐*星,金色平原,首次违规
逐*星,国王之谷,多次违规
逐*刃,伊森利恩,首次违规
逐*臣,影之哀伤,多次违规
逐**歌,末日行者,多次违规
逐**风,格雷迈恩,多次违规
逐**嗳,塞拉摩,首次违规
逐***下,影之哀伤,首次违规
逐***豆,影之哀伤,多次违规
逐***丶,死亡之翼,多次违规
逐****怒,死亡之翼,首次违规
逐****丶,主宰之剑,首次违规
竺**寳,雷斧堡垒,首次违规
竹*久,布兰卡德,多次违规
竹*豪,天空之墙,首次违规
竹**月,巨龙之吼,首次违规
竹**水,丽丽（四川）,首次违规
竹**肉,国王之谷,首次违规
竹**虫,死亡之翼,首次违规
竹***宝,破碎岭,首次违规
竹****了,熊猫酒仙,首次违规
諸*喨,凤凰之神,首次违规
諸**名,暴风祭坛,首次违规
猪*潼,凤凰之神,首次违规
猪*神,伊森利恩,多次违规
猪*山,熊猫酒仙,首次违规
猪*妹,壁炉谷,多次违规
猪*料,无尽之海,首次违规
猪*鸡,丽丽（四川）,首次违规
猪*焚,燃烧之刃,多次违规
猪*敌,格瑞姆巴托,多次违规
猪**子,米奈希尔,多次违规
猪**兮,死亡之翼,首次违规
猪**王,主宰之剑,首次违规
猪**特,伊森利恩,首次违规
猪**三,伊森利恩,首次违规
猪**茄,燃烧之刃,多次违规
猪**那,永恒之井,多次违规
猪**淼,伊森利恩,多次违规
猪**咪,凤凰之神,首次违规
猪**六,凤凰之神,首次违规
猪**儿,诺兹多姆,首次违规
猪**丶,白银之手,首次违规
猪***侠,血色十字军,首次违规
猪***恰,血色十字军,首次违规
猪***呢,伊森利恩,首次违规
猪***面,艾莫莉丝,首次违规
猪***六,伊森利恩,首次违规
猪***饭,埃德萨拉,首次违规
猪***丷,凤凰之神,多次违规
猪****分,奥尔加隆,首次违规
猪****分,永恒之井,首次违规
猪****饭,狂热之刃,首次违规
猪****哒,罗宁,首次违规
猪****爸,丽丽（四川）,首次违规
猪****爸,丽丽（四川）,首次违规
诸**戏,安苏,首次违规
诸**顺,埃德萨拉,首次违规
诸**判,凤凰之神,首次违规
诸**弩,主宰之剑,首次违规
诸**捶,白银之手,首次违规
诸**常,埃德萨拉,首次违规
诸***昏,凤凰之神,首次违规
诸***丶,死亡之翼,多次违规
诸***丶,伊森利恩,多次违规
珠*玉,血色十字军,多次违规
珠*丶,主宰之剑,首次违规
珠**粲,罗宁,首次违规
茱*娅,暗影之月,首次违规
侏****者,凤凰之神,首次违规
朱*茵,凤凰之神,首次违规
朱*海,艾露恩,首次违规
朱**影,影之哀伤,首次违规
朱**拉,死亡之翼,首次违规
朱***王,贫瘠之地,首次违规
骤**亡,白银之手,首次违规
昼*丶,丹莫德,首次违规
昼**影,主宰之剑,多次违规
昼***雷,影之哀伤,首次违规
宙*丶,玛里苟斯,首次违规
咒*瞳,主宰之剑,首次违规
咒***尔,奥拉基尔,首次违规
纣*王,霜之哀伤,首次违规
纣*王,奥特兰克,首次违规
肘*大,克尔苏加德,多次违规
肘*宝,白银之手,首次违规
肘***牛,狂热之刃,多次违规
粥*荔,死亡之翼,多次违规
粥*呆,罗宁,首次违规
周*易,白银之手,多次违规
周*恒,苏拉玛,首次违规
周*发,霜之哀伤,多次违规
周*发,洛萨,多次违规
周*娣,影之哀伤,首次违规
周**已,伊森利恩,首次违规
周**息,燃烧之刃,首次违规
周**丨,凤凰之神,首次违规
周**界,布莱克摩,首次违规
周**灬,白银之手,首次违规
周**棍,末日行者,首次违规
周**丶,血色十字军,多次违规
周**德,安苏,首次违规
周**彻,布兰卡德,多次违规
周**班,无尽之海,首次违规
周***印,死亡之翼,首次违规
周***人,罗宁,多次违规
周***猎,雷斧堡垒,首次违规
周***灬,伊森利恩,首次违规
周****一,死亡之翼,首次违规
周****倫,死亡之翼,首次违规
周****憨,死亡之翼,首次违规
周****边,死亡之翼,首次违规
舟*龙,伊森利恩,首次违规
舟**跑,罗宁,多次违规
舟**忙,玛里苟斯,多次违规
舟***梦,凤凰之神,首次违规
重*启,熊猫酒仙,多次违规
重*楼,贫瘠之地,首次违规
重*楼,试炼之环,首次违规
重**王,血色十字军,多次违规
重**跳,亚雷戈斯,多次违规
重**牛,影之哀伤,多次违规
重**明,冰风岗,首次违规
重**击,红龙军团,首次违规
重**光,末日行者,首次违规
重**峰,格瑞姆巴托,多次违规
重**尔,国王之谷,首次违规
重***者,凤凰之神,首次违规
重***佑,影之哀伤,多次违规
重***蓮,凤凰之神,首次违规
重***虎,末日行者,首次违规
重***法,国王之谷,首次违规
重****忆,燃烧之刃,多次违规
重****师,凤凰之神,多次违规
重****皇,安苏,首次违规
重****德,壁炉谷,首次违规
重****斌,末日行者,首次违规
重****哎,熊猫酒仙,多次违规
众**渊,血色十字军,多次违规
仲***梦,白银之手,多次违规
冢**鹿,金色平原,首次违规
种****乐,红云台地,首次违规
終**歌,死亡之翼,多次违规
終***妳,血色十字军,多次违规
終****遊,哈卡,首次违规
钟*婉,凤凰之神,多次违规
钟*秋,无尽之海,首次违规
钟*凉,白银之手,首次违规
钟*碍,无尽之海,首次违规
钟***平,白银之手,首次违规
钟***平,森金,多次违规
钟***平,伊森利恩,多次违规
钟****颜,白银之手,首次违规
柊*祈,奈萨里奥,首次违规
柊*镜,奈萨里奥,首次违规
柊**娜,影之哀伤,多次违规
终*宴,海克泰尔,首次违规
终*焉,遗忘海岸,首次违规
终*曲,遗忘海岸,首次违规
终*符,梅尔加尼,多次违规
终**手,无尽之海,首次违规
终**的,凤凰之神,首次违规
终***症,影之哀伤,首次违规
终***熊,血色十字军,首次违规
终***王,贫瘠之地,多次违规
终***鏊,凤凰之神,首次违规
终****游,伊森利恩,首次违规
终****游,法拉希姆,首次违规
终****使,格瑞姆巴托,首次违规
终****了,恶魔之翼,多次违规
终****了,恶魔之翼,多次违规
忠*義,伊森利恩,首次违规
忠***号,血色十字军,多次违规
中*優,布兰卡德,首次违规
中*舲,主宰之剑,首次违规
中**意,血色十字军,首次违规
中**圣,玛里苟斯,首次违规
中**牛,燃烧之刃,多次违规
中**漏,燃烧军团,首次违规
中**狙,死亡之翼,首次违规
中**玖,奥尔加隆,首次违规
中**级,死亡之翼,首次违规
中**法,燃烧之刃,多次违规
中**丶,血色十字军,多次违规
中***士,白银之手,首次违规
中***裤,埃德萨拉,多次违规
中***鸡,凤凰之神,首次违规
中***灬,埃德萨拉,多次违规
中***丶,金色平原,多次违规
中***吧,红龙女王,首次违规
中****宏,凤凰之神,多次违规
稚*谜,罗宁,首次违规
稚*圭,死亡之翼,首次违规
稚****师,格瑞姆巴托,首次违规
智*代,白银之手,首次违规
智**士,山丘之王,首次违规
智***珊,燃烧之刃,首次违规
智***人,国王之谷,首次违规
智****受,影之哀伤,首次违规
智****林,白银之手,首次违规
致**擊,荆棘谷,首次违规
桎**實,白银之手,首次违规
挚*愛,伊森利恩,首次违规
治**涌,外域,首次违规
治**休,黑铁,多次违规
治**满,凤凰之神,多次违规
治***机,斩魔者,首次违规
治***道,末日行者,多次违规
治****君,死亡之翼,多次违规
炙*雪,血色十字军,首次违规
炙**夏,末日行者,首次违规
炙**痕,格瑞姆巴托,首次违规
炙**风,霜之哀伤,首次违规
制**丶,罗宁,首次违规
志**阳,死亡之翼,多次违规
志**来,埃德萨拉,多次违规
志**得,罗宁,首次违规
志****朗,国王之谷,多次违规
至*钻,燃烧之刃,多次违规
至*丿,无尽之海,多次违规
至**夜,克尔苏加德,首次违规
至**夜,熔火之心,首次违规
至**神,苏拉玛,首次违规
至**刻,影之哀伤,多次违规
至**朵,燃烧之刃,多次违规
至***总,丽丽（四川）,首次违规
至***心,伊利丹,多次违规
至***鸟,罗宁,多次违规
至***哥,凤凰之神,多次违规
至***霸,死亡之翼,多次违规
至****影,金色平原,首次违规
至****丶,迅捷微风,多次违规
至****查,巨龙之吼,首次违规
徵*羽,影之哀伤,首次违规
枳*儿,白银之手,首次违规
指**意,白银之手,多次违规
指**杀,罗宁,多次违规
指**明,凤凰之神,首次违规
指**火,伊森利恩,多次违规
指**魂,伊森利恩,多次违规
指***律,布鲁塔卢斯,首次违规
指***丶,白银之手,首次违规
指****奶,凤凰之神,首次违规
指****光,太阳之井,首次违规
纸*鸳,白银之手,首次违规
纸*尾,守护之剑,首次违规
纸*侬,鬼雾峰,多次违规
纸*亮,影之哀伤,首次违规
纸*霁,雷斧堡垒,首次违规
纸*丶,血色十字军,多次违规
纸**音,凤凰之神,首次违规
纸***水,利刃之拳,首次违规
纸***丶,格瑞姆巴托,多次违规
芷*幽,影之哀伤,首次违规
芷*妍,无尽之海,首次违规
芷*妍,无尽之海,首次违规
芷*妍,无尽之海,首次违规
芷*芯,无尽之海,首次违规
芷*涵,血色十字军,首次违规
芷**丶,凤凰之神,首次违规
芷***丶,扎拉赞恩,多次违规
凪*丘,伊森利恩,首次违规
只*魚,影之哀伤,多次违规
只**樂,罗宁,首次违规
只**樂,罗宁,首次违规
只**圈,死亡之翼,首次违规
只**强,主宰之剑,多次违规
只**出,燃烧之刃,首次违规
只**啊,死亡之翼,多次违规
只***雪,死亡之翼,首次违规
只***笑,伊森利恩,首次违规
只***线,白银之手,多次违规
只***去,熔火之心,多次违规
只***清,熊猫酒仙,多次违规
只***美,血色十字军,首次违规
只***猫,火羽山,首次违规
只***看,凤凰之神,首次违规
只***箭,卡德加,首次违规
只***害,主宰之剑,首次违规
只***狗,白银之手,首次违规
只***朵,熊猫酒仙,多次违规
只***丁,罗宁,首次违规
只***丶,狂热之刃,首次违规
只***丶,罗宁,首次违规
只***道,影之哀伤,首次违规
只***车,死亡之翼,首次违规
只***包,无尽之海,首次违规
只***啊,燃烧之刃,首次违规
只****送,梦境之树,首次违规
只****斯,冰风岗,首次违规
只****人,燃烧之刃,首次违规
只****窃,霜之哀伤,首次违规
只****哥,死亡之翼,首次违规
只****丶,伊森利恩,多次违规
只****待,主宰之剑,多次违规
只****杯,希雷诺斯,首次违规
只****摆,燃烧之刃,首次违规
只****捌,晴日峰（江苏）,首次违规
止*北,无尽之海,首次违规
止**印,伊森利恩,多次违规
止**行,死亡之翼,首次违规
职**助,布兰卡德,多次违规
职***丶,凤凰之神,多次违规
執**美,暗影之月,多次违规
直**啊,国王之谷,首次违规
直***冲,霜之哀伤,首次违规
执*念,国王之谷,首次违规
执*灬,血色十字军,首次违规
执*耳,霜之哀伤,首次违规
执**歌,凤凰之神,首次违规
执***颜,罗宁,首次违规
执***花,罗宁,首次违规
执***丶,凤凰之神,首次违规
执***丶,末日行者,多次违规
执****让,燃烧之刃,多次违规
蜘***探,埃德萨拉,多次违规
祗**说,血环,多次违规
祗***月,末日行者,首次违规
栀*云,白银之手,首次违规
栀*颜,冰风岗,多次违规
栀*热,白银之手,首次违规
栀*尘,白银之手,多次违规
栀**椰,狂热之刃,多次违规
织*夜,埃德萨拉,首次违规
织*烟,罗宁,首次违规
织*魂,死亡之翼,首次违规
织**尘,霜之哀伤,首次违规
知*瑜,血色十字军,首次违规
知*鸟,逐日者,多次违规
知*眠,奥特兰克,首次违规
知*灬,凤凰之神,首次违规
知*丶,熊猫酒仙,首次违规
知*丶,凤凰之神,首次违规
知*丶,伊森利恩,多次违规
知*丶,死亡之翼,多次违规
知**子,布兰卡德,首次违规
知**叶,国王之谷,首次违规
知**阳,死亡之翼,首次违规
知**务,塞拉摩,首次违规
知**王,主宰之剑,首次违规
知**神,布兰卡德,多次违规
知**理,丽丽（四川）,首次违规
知**己,风行者,多次违规
知**否,法拉希姆,首次违规
知**贝,加基森,首次违规
知****糖,白银之手,首次违规
知****黑,主宰之剑,首次违规
枝*缘,凤凰之神,多次违规
枝***茶,燃烧之刃,首次违规
吱*昂,血色十字军,多次违规
吱**哇,格瑞姆巴托,首次违规
吱***喵,格瑞姆巴托,首次违规
芝*羊,安苏,多次违规
芝*芯,血色十字军,首次违规
芝*心,霜之哀伤,首次违规
芝**子,白银之手,多次违规
芝**膜,凤凰之神,多次违规
芝**芒,奈法利安,首次违规
芝**果,凤凰之神,首次违规
芝**咕,洛肯,首次违规
芝**丶,血色十字军,首次违规
芝**饼,凤凰之神,多次违规
芝**鲍,白银之手,首次违规
芝**豹,巴瑟拉斯,首次违规
芝***圆,国王之谷,首次违规
芝***鸭,凤凰之神,首次违规
芝***王,凤凰之神,多次违规
芝***狸,凤凰之神,首次违规
芝***蕾,安苏,首次违规
芝***果,白银之手,首次违规
芝***糕,罗宁,首次违规
芝***丶,狂热之刃,多次违规
芝***杯,末日行者,首次违规
芝***包,奥金顿,首次违规
芝***吖,凤凰之神,首次违规
支**牙,布兰卡德,首次违规
之*润,影之哀伤,首次违规
之*后,奥拉基尔,首次违规
之*祠,影之哀伤,首次违规
之*祠,凤凰之神,首次违规
政**丶,贫瘠之地,多次违规
郑*耀,血色十字军,首次违规
郑*阳,死亡之翼,首次违规
郑*秀,白银之手,首次违规
郑*爽,白银之手,首次违规
郑*闹,无尽之海,多次违规
郑*恺,死亡之翼,多次违规
郑*亨,影之哀伤,多次违规
郑*地,凤凰之神,首次违规
郑**灬,冰风岗,首次违规
郑**霸,燃烧之刃,首次违规
郑****情,凤凰之神,首次违规
证***丶,死亡之翼,首次违规
正**众,影之哀伤,多次违规
正**也,死亡之翼,多次违规
正**我,阿古斯,首次违规
正**神,破碎岭,首次违规
正**啟,灰谷,首次违规
正**年,主宰之剑,多次违规
正**經,巨龙之吼,多次违规
正**钅,回音山,首次违规
正**击,布兰卡德,首次违规
